"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R017","F","fishing",21,14,30
"R018","F","fishing",23,24,29
"R015S","M","fishing",41,4,17
"R016","M","fishing",43,9,18
"R017","M","fishing",44,11,15
"R015S","M","fishing",48,1,5
"R015S","F","fishing",35,17,44
"R017","M","inland",44,20,23
"R015S","F","fishing",20,4,29
"R018","F","fishing",25,27,38
"R016","M","inland",39,20,35
"R017","M","inland",40,26,31
"R017","M","fishing",40,22,30
"R017","M","fishing",33,31,46
"R015","M","fishing",24,3,26
"R015","M","inland",36,13,28
"R018","M","inland",41,26,30
"R015","M","fishing",42,7,20
"R015S","M","fishing",43,4,14
"R016","M","fishing",44,7,16
"R017","M","fishing",46,6,10
"R018","M","fishing",47,17,18
"R015S","M","fishing",26,2,35
"R016","M","fishing",27,8,39
"R015","F","fishing",48,2,3
"R015S","F","fishing",48,4,5
"R015","F","fishing",44,2,5
"R015S","F","fishing",44,3,9
"R016","F","fishing",46,4,5
"R017","F","fishing",47,4,6
"R018","F","fishing",49,3,3
"R016","F","fishing",36,22,31
"R018","F","fishing",43,23,26
"R017","M","fishing",26,8,19
"R017","M","fishing",22,0,7
"R018","M","fishing",26,11,16
"R015S","M","fishing",29,2,38
"R017","M","fishing",32,20,35
"R017","F","fishing",23,32,39
"R015S","F","fishing",22,5,23
"R016","F","fishing",23,15,26
"R017","F","fishing",24,18,29
"R018","F","fishing",26,35,40
"R015","F","inland",17,0,2
"R016","F","inland",19,7,13
"R017","F","inland",21,17,27
"R018","F","inland",23,19,26
"R016","F","fishing",24,22,40
"R017","M","fishing",42,14,22
"R018","M","fishing",29,26,33
"R015S","M","fishing",28,6,34
"R018","M","fishing",32,25,33
"R016","M","fishing",39,17,27
"R018","M","fishing",42,29,35
"R017","M","inland",28,11,23
"R016","F","fishing",22,10,26
"R017","M","fishing",27,13,25
"R017","M","fishing",29,19,34
"R015","M","inland",43,4,20
"R015","M","inland",23,2,17
"R015","M","inland",29,6,25
"R016","M","fishing",24,3,19
"R017","F","fishing",25,28,37
"R016","M","fishing",22,0,13
"R017","M","fishing",24,6,15
"R018","F","inland",49,21,22
"R016","M","inland",21,3,11
"R017","M","inland",22,1,5
"R017","F","inland",26,32,47
"R016","F","fishing",18,0,7
"R017","F","fishing",19,7,11
"R018","F","fishing",21,11,13
"R016","M","fishing",37,7,15
"R016","M","fishing",42,6,15
"R016","F","inland",17,3,8
"R017","F","inland",18,9,14
"R016","F","inland",21,10,24
"R016","M","inland",22,2,9
"R018","M","fishing",23,1,7
"R018","M","fishing",27,19,31
"R018","M","fishing",25,11,23
"R017","M","fishing",19,0,1
"R018","M","fishing",21,1,5
"R017","F","inland",20,10,21
"R017","M","fishing",30,18,32
