"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R018","F","fishing",45,11,30
"R013","M","inland",25,5,130
"R016","M","inland",29,23,186
"R018","M","inland",32,33,179
"R016","M","fishing",30,33,87
"R017","M","fishing",32,35,78
"R007","F","inland",15,3,120
"R007","M","inland",15,0,93
"R011","M","inland",20,4,151
"R012","M","inland",38,14,91
"R012","F","inland",47,9,67
"R017","M","inland",30,26,191
"R011","M","inland",19,0,132
"R013","M","inland",23,8,125
"R018","M","fishing",33,41,98
"R012","M","inland",21,2,125
"R015","M","inland",26,21,190
"R016","M","inland",28,23,201
"R018","M","inland",31,27,203
"R010","M","inland",17,0,114
"R009","F","inland",17,8,137
"R010","F","inland",18,9,158
"R012","F","inland",21,24,186
"R008","M","inland",15,0,85
"R008","F","inland",15,3,120
"R009","F","inland",16,4,122
"R018","F","fishing",30,65,110
"R012","M","inland",20,1,124
"R009","M","inland",16,0,94
"R010","F","inland",17,4,133
"R009","F","inland",15,1,73
"R011","F","inland",17,5,140
"R011","F","inland",16,3,138
"R011","F","inland",20,13,207
"R013","F","inland",23,25,184
"R009","M","inland",44,1,29
"R010","M","inland",45,2,27
"R017","M","inland",29,23,196
"R018","F","fishing",31,42,88
"R015","F","inland",25,60,288
"R016","F","inland",27,56,263
"R012","F","inland",20,19,207
"R012","F","inland",15,2,155
"R017","F","inland",26,48,270
"R018","F","inland",28,36,258
"R013","M","inland",22,2,114
"R014","M","inland",24,8,131
"R015","M","inland",25,23,223
"R016","M","inland",27,18,208
"R018","M","inland",30,22,182
"R017","F","inland",29,63,307
"R015","F","inland",26,54,285
"R016","F","inland",28,52,274
"R013","F","inland",22,27,171
"R011","M","inland",18,0,142
"R009","M","inland",15,0,65
"R010","M","inland",16,0,100
"R015","M","fishing",29,39,75
"R015S","M","fishing",30,54,116
"R016","M","fishing",31,37,91
"R018","M","fishing",34,53,108
"R012","F","inland",18,5,188
"R013","F","inland",19,6,149
"R012","M","inland",19,2,155
"R013","M","inland",21,7,110
"R014","M","inland",22,7,130
"R012","F","inland",19,7,173
"R013","F","inland",21,11,159
"R014","F","inland",22,21,181
"R015","F","inland",24,35,278
"R016","F","inland",26,41,273
"R017","F","inland",28,64,285
"R011","M","inland",17,0,114
"R014","F","inland",23,26,185
"R014","M","inland",23,7,145
"R011","F","inland",19,20,174
"R013","M","inland",15,0,146
"R014","M","inland",16,2,215
"R015","M","inland",18,0,275
"R016","M","inland",20,5,236
"R012","F","inland",17,1,162
"R013","F","inland",18,6,203
"R015","F","inland",22,40,264
"R016","F","inland",24,38,272
"R016","M","inland",26,14,180
"R017","M","inland",28,22,185
"R012","M","inland",15,1,156
"R013","M","inland",17,0,161
"R014","M","inland",19,2,168
"R015","M","inland",20,9,243
"R016","M","inland",22,13,219
"R017","M","inland",24,11,211
"R018","M","inland",26,12,192
"R015","M","inland",24,15,187
"R012","M","inland",18,1,166
"R013","M","inland",20,2,125
"R017","M","inland",27,19,196
"R018","M","inland",29,18,185
"R018","F","inland",31,40,248
"R010","F","inland",15,0,81
"R015","F","inland",20,21,311
